Survived,Pclass,Age,Fare,FamSize,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other,cabin_missing
0.0,3.0,21.999999999999996,7.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,38.0,71.2833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,3.0,26.0,7.925,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,35.0,53.1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,3.0,35.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,47.79999999978015,8.4583,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,54.0,51.8625,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,2.0,21.075,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,27.0,11.1333,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,2.0,14.0,30.0708,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,3.0,4.0,16.7,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,58.00000000000001,26.55,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,20.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,39.0,31.275,6.000000000000001,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,14.0,7.8542,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,2.0,55.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,2.0,29.125,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,36.5,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,31.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,3.0,20.568730144817287,7.225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,2.0,35.0,26.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,34.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,15.0,8.0292,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,28.0,35.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,8.0,21.075,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,38.0,31.3875,6.000000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,27.5,7.225,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,19.0,263.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,19.0,7.8792,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,25.2,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,40.0,27.7208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
